INDEX;CONC;PREC;TMAX;TMIN;VMIN;DIR;VMAX
30/04/10;26.59;0.0;25.4;8.8;1.3;3;3.4
01/05/10;0;0.0;24.8;8.8;1.5;6;3.6
02/05/10;0;2.2;16;13.5;1.2;5;2.1
03/05/10;0;35.8;22.1;11.3;1.4;7;3.2
04/05/10;1.60;12.0;21.8;11.2;1.1;5;3.1
06/05/10;78.16;12.8;16.2;9.8;1.3;5;3.2
07/05/10;12.81;2.4;16.8;9.1;0.8;5;1.7
08/05/10;6.41;1.8;19;8.8;1.3;3;3.4
18/05/10;40.04;0.0;24.5;8.6;1.4;3;3.3
19/05/10;27.87;0.0;19.8;9.7;1.9;6;7.4
20/05/10;16.02;6.6;21.2;6.9;2.5;1;5.2
21/05/10;25.31;0.0;24.5;7.8;1.7;1;4.5
22/05/10;20.82;0.0;27;10.6;1.8;5;4.6
23/05/10;30.75;0.0;27.7;9.6;1.0;5;2.9
24/05/10;49.01;0.0;28.8;10.4;1.3;5;3.5
25/05/10;50.61;0.0;26.6;11.6;2.1;3;4.5
26/05/10;52.54;0.0;28;9.4;1.4;3;4.1
27/05/10;63.43;0.0;24.8;10.4;1.2;6;2.9
28/05/10;43.25;0.0;26.6;13.7;1.5;6;3.9
29/05/10;69.51;0.0;28;11.7;1.3;6;3.1
30/05/10;48.05;0.0;26.7;14.5;1.5;5;3.6
31/05/10;52.54;0.0;26.7;12.9;1.6;3;5.4
01/06/10;0;0.0;28.4;8.7;1.5;6;3.6
02/06/10;0;0.0;22.7;13.8;1.1;3;2.8
03/06/10;0;10.2;23.3;13.2;1.7;6;6.6
04/06/10;3.20;1.8;29.1;12.7;1.5;1;2.9
06/06/10;37.48;0.0;30.7;15.2;1.5;3;3.5
07/06/10;20.18;0.0;29.3;12.2;1.4;3;3.5
08/06/10;0.64;0.0;30.5;14.4;1.3;3;2.9
13/06/10;38.12;0.0;29.1;16.4;1.9;2;4.3
14/06/10;21.46;0.8;28.9;14.4;1.3;3;3.0
15/06/10;25.31;0.2;27.6;18.4;1.3;7;2.7
19/06/10;8.65;18.2;21.6;15.8;1.1;6;2.2
22/06/10;20.50;0.0;27.1;10.3;1.2;6;2.4
23/06/10;16.66;0.6;27.3;13.4;1.0;6;2.4
24/06/10;26.27;0.0;29.9;13.1;1.1;3;3.0
25/06/10;21.46;0.0;29.9;14.4;1.2;3;2.4
26/06/10;14.74;0.0;30.5;14.7;1.0;3;2.8
27/06/10;25.31;0.0;31.2;14.8;1.1;5;2.4
28/06/10;27.55;0.0;32.2;15.2;1.3;3;2.8
29/06/10;23.38;0.0;32.7;16.3;1.2;3;2.9
30/06/10;16.66;0.0;32.7;17.3;1.2;3;2.9
01/07/10;0;0.0;34.2;16.8;1.2;6;3.1
02/07/10;0;0.0;35.1;17.6;0.9;6;2.2
03/07/10;0.32;0.0;34.9;17.4;1.1;1;2.9
04/07/10;4.48;0.0;33.1;19.4;1.5;6;3.2
06/07/10;34.92;0.0;32.8;19.4;1.2;3;7.1
07/07/10;14.74;0.0;33.3;19.1;2.3;6;6.1
08/07/10;3.20;0.0;32.8;19.5;1.8;6;5.0
13/07/10;3.84;0.0;34.1;20.4;1.3;3;2.7
14/07/10;10.89;0.0;36;18.9;1.0;3;2.6
15/07/10;8.33;0.0;35.5;18.8;1.2;3;2.4
16/07/10;6.09;0.0;37.4;19.1;1.1;3;2.4
17/07/10;10.57;0.0;34.7;19.8;1.6;3;3.1
18/07/10;15.06;0.0;32.5;21.5;3.4;6;6.5
19/07/10;8.97;0.0;32.2;22.3;4.4;0;6.0
20/07/10;6.09;0.0;35.4;22.7;2.6;1;4.0
21/07/10;9.61;0.0;35.9;19.9;1.3;6;3.1
22/07/10;4.81;0.0;35.8;18.7;1.2;3;2.5
23/07/10;4.81;0.0;34.8;20.6;1.8;1;3.9
24/07/10;4.16;0.0;32.7;18.6;2.2;5;6.1
25/07/10;5.77;0.0;31.1;14.6;1.5;6;3.9
26/07/10;4.81;0.0;28.7;16.3;2.4;3;4.8
27/07/10;4.16;0.0;27.9;12.7;1.2;6;6.5
28/07/10;4.16;2.8;31.6;12.6;1.4;1;3.0
29/07/10;1.92;0.0;24.5;15.1;1.3;3;7.0
30/07/10;1.60;49.2;27.6;12.9;2.8;6;6.5
31/07/10;3.84;0.0;28.5;14.2;2.5;0;4.9
01/08/10;0;0.0;31.9;13.3;1.2;6;2.4
02/08/10;0;0.0;32.4;14.3;1.3;3;3.0
