gg/mm/aaaa;Vel Med [m/s];Dir Med;Vel Max [m/s]
24/03/11;1.2;SE;3.1
25/03/11;1.2;E;3.9
26/03/11;1.4;SE;3.3
27/03/11;0.9;E;2.9
28/03/11;1.0;N;2.7
29/03/11;1.7;NE;4.2
30/03/11;1.2;SE;2.7
31/03/11;1.2;E;2.3
01/04/11;1.1;E;2.5
02/04/11;1.1;E;3.2
03/04/11;1.2;NE;2.7
04/04/11;1.2;NE;3.7
05/04/11;3.4;NE;7.9
06/04/11;1.2;S;2.3
07/04/11;1.2;E;3.7
08/04/11;1.1;E;2.2
09/04/11;1.1;E;2.9
10/04/11;1.7;NE;5.8
11/04/11;1.0;SE;2.3
12/04/11;1.2;SE;2.2
13/04/11;3.4;NE;8.5
14/04/11;1.2;NE;5.0
15/04/11;3.4;E;6.2
16/04/11;2.9;NE;6.7
17/04/11;3.1;NE;7.2
18/04/11;2.5;E;5.3
19/04/11;2.7;E;6.2
20/04/11;1.3;E;2.8
21/04/11;0.9;S;2.6
22/04/11;1.2;SE;3.4
23/04/11;1.0;NE;2.4
24/04/11;0.8;NE;1.8
25/04/11;3.3;E;6.7
26/04/11;4.2;NE;7.0
27/04/11;3.3;N;6.2
28/04/11;2.5;NE;4.7
29/04/11;1.6;NE;4.4
30/04/11;3.9;N;7.7
01/05/11;2.7;N;5.2
02/05/11;1.3;E;4.6
03/05/11;1.9;NE;4.7
04/05/11;3.4;E;8.2
05/05/11;2.8;NE;5.5
06/05/11;1.5;E;2.8
07/05/11;1.2;E;2.6
08/05/11;1.6;S;6.5
09/05/11;3.9;NE;7.4
10/05/11;3.3;NE;6.5
11/05/11;1.4;S;2.7
12/05/11;1.6;E;3.6
13/05/11;1.4;E;3.0
14/05/11;1.3;E;3.6
15/05/11;2.6;S;9.2
16/05/11;2.3;S;5.4
17/05/11;1.4;SO;3.5
18/05/11;3.2;NE;7.3
19/05/11;1.4;S;2.7
20/05/11;1.3;NE;6.7
21/05/11;1.8;SE;4.7
22/05/11;1.7;SE;4.3
23/05/11;2.7;SE;6.3
24/05/11;2.5;NE;6.0
25/05/11;2.6;O;5.8
26/05/11;1.4;E;2.9
27/05/11;2.1;SE;5.2
28/05/11;2.3;SO;5.4
29/05/11;2.9;SE;5.3
30/05/11;1.9;NE;4.4
31/05/11;1.6;E;3.8
01/06/11;1.5;SO;5.5
02/06/11;2.9;NE;7.3
03/06/11;4.2;NE;7.9
04/06/11;1.7;NE;5.2
05/06/11;1.3;E;5.4
06/06/11;1.4;E;3.9
07/06/11;1.3;NE;3.0
08/06/11;1.4;SO;3.6
09/06/11;1.9;SE;4.4
10/06/11;1.7;S;4.2
11/06/11;1.6;SO;3.9
12/06/11;1.3;O;3.7
13/06/11;1.3;E;3.5
14/06/11;1.7;NE;5.5
15/06/11;2.3;N;5.5
16/06/11;1.5;NE;3.2
17/06/11;1.4;E;3.8
18/06/11;2.9;SO;6.6
19/06/11;2.2;S;3.9
20/06/11;1.4;NE;3.0
21/06/11;1.3;E;2.7
22/06/11;1.3;SE;2.7
23/06/11;1.5;SE;3.2
24/06/11;1.5;SO;3.6
25/06/11;3.2;SE;6.3
26/06/11;1.3;E;2.5
27/06/11;1.3;E;2.8
28/06/11;1.4;E;3.1
29/06/11;1.4;E;2.7
30/06/11;1.5;SE;3.8
01/07/11;1.3;NE;7.1
02/07/11;3.6;NE;6.4
